row,cluster
798,1
799,11
800,5
801,1
802,10
803,4
804,10
805,4
806,2
807,1
808,6
809,8
810,11
811,2
812,0
813,5
814,0
815,5
816,6
817,5
818,2
819,0
820,9
821,2
822,8
823,2
824,5
825,0
826,11
827,11
828,2
829,11
830,0
831,5
832,9
833,0
834,6
835,0
836,1
837,1
838,5
839,11
840,8
841,1
842,7
843,10
844,9
845,2
846,6
847,6
848,4
849,2
850,8
851,10
852,6
853,0
854,9
855,10
856,1
857,7
858,6
859,9
860,5
861,6
862,3
863,1
864,8
865,9
866,0
867,6
868,10
869,10
870,4
871,9
872,2
873,7
874,5
875,5
876,6
877,1
878,5
879,7
880,11
881,10
882,4
883,5
884,5
885,5
886,6
887,9
888,1
889,0
890,5
891,1
892,2
893,10
894,0
895,6
896,7
897,5
898,10
899,8
900,2
901,11
902,6
903,1
904,11
905,5
906,3
907,5
908,11
909,10
910,8
911,9
912,6
913,8
914,0
915,1
916,4
917,11
918,5
919,8
920,0
921,0
922,9
923,11
924,1
925,1
926,4
927,3
928,9
929,8
930,7
931,8
932,4
933,10
934,11
935,3
936,6
937,9
938,0
939,11
940,8
941,8
942,5
943,5
944,4
945,6
946,11
947,10
948,0
949,4
950,8
951,2
952,7
953,6
954,1
955,9
956,4
957,6
958,2
959,1
960,10
961,2
962,8
963,2
964,0
965,0
966,0
967,11
968,10
969,9
970,9
971,3
972,0
973,8
974,4
975,1
976,9
977,0
978,10
979,10
980,10
981,0
982,11
983,4
984,8
985,10
986,2
987,9
988,9
989,2
990,8
991,10
992,11
993,0
994,11
995,6
996,10
997,6
998,3
999,1
1000,11
1001,11
1002,5
1003,0
1004,0
1005,2
1006,11
1007,11
1008,8
1009,2
1010,5
1011,2
1012,2
1013,6
1014,2
1015,1
1016,5
1017,0
1018,2
1019,5
1020,0
1021,1
1022,5
1023,9
1024,9
1025,2
1026,9
1027,4
1028,4
1029,8
1030,0
1031,5
1032,6
1033,9
1034,1
1035,4
1036,4
1037,11
1038,5
1039,4
1040,8
1041,6
1042,9
1043,10
1044,7
1045,2
1046,0
1047,8
1048,7
1049,2
1050,2
1051,2
1052,5
1053,1
1054,1
1055,1
1056,9
1057,5
1058,11
1059,6
1060,8
1061,9
1062,10
1063,5
1064,2
1065,0
1066,0
1067,2
1068,3
1069,6
1070,0
1071,2
1072,0
1073,0
1074,5
1075,0
1076,8
1077,9
1078,5
1079,11
1080,9
1081,5
1082,9
1083,5
1084,10
1085,2
1086,11
1087,0
1088,0
1089,10
1090,5
1091,9
1092,5
1093,1
1094,9
1095,10
1096,8
1097,10
1098,9
1099,9
1100,4
1101,11
1102,1
1103,11
1104,7
1105,5
1106,10
1107,9
1108,8
1109,3
1110,11
1111,0
1112,5
1113,0
1114,10
1115,9
1116,4
1117,5
1118,0
1119,1
1120,8
1121,2
1122,1
1123,8
1124,8
1125,6
1126,1
1127,10
1128,7
1129,4
1130,9
1131,9
1132,11
1133,8
1134,6
1135,11
1136,1
1137,5
1138,1
1139,7
1140,5
1141,10
1142,8
1143,6
1144,5
1145,0
1146,8
1147,0
1148,2
1149,2
1150,11
1151,8
1152,2
1153,5
1154,6
1155,9
1156,4
1157,3
1158,1
1159,3
1160,0
1161,11
1162,11
1163,10
1164,6
1165,10
1166,10
1167,10
1168,9
1169,1
1170,5
1171,10
1172,0
1173,5
1174,1
1175,8
1176,9
1177,0
1178,6
1179,5
1180,10
1181,1
1182,2
1183,1
1184,4
1185,9
1186,5
1187,1
1188,10
1189,2
1190,11
1191,7
1192,7
1193,5
1194,9
1195,0
1196,2
1197,2
1198,4
1199,1
1200,11
1201,6
1202,1
1203,10
1204,1
1205,6
1206,1
1207,8
1208,3
1209,11
1210,0
1211,9
1212,11
1213,9
1214,9
1215,10
1216,2
1217,5
1218,8
1219,5
1220,2
1221,5
1222,10
1223,6
1224,7
1225,5
1226,3
1227,5
1228,10
1229,8
1230,10
1231,5
1232,11
1233,2
1234,10
1235,11
1236,2
1237,5
1238,9
1239,2
1240,5
1241,0
1242,9
1243,9
1244,5
1245,8
1246,4
1247,5
1248,11
1249,9
1250,11
1251,5
1252,11
1253,4
1254,2
1255,6
1256,5
1257,3
1258,5
1259,1
1260,10
1261,8
1262,10
1263,4
1264,2
1265,10
1266,5
1267,11
1268,4
1269,3
1270,6
1271,5
1272,11
1273,8
1274,7
1275,10
1276,8
1277,5
1278,11
1279,10
1280,8
1281,2
1282,10
1283,4
1284,7
1285,6
1286,7
1287,0
1288,6
1289,9
1290,6
1291,2
1292,10
1293,4
1294,9
1295,4
1296,2
1297,11
1298,8
1299,8
1300,11
1301,11
1302,0
1303,10
1304,8
1305,11
1306,8
1307,2
1308,1
1309,10
1310,10
1311,5
1312,0
1313,11
1314,1
1315,6
1316,10
1317,10
1318,5
1319,4
1320,2
1321,7
1322,9
1323,9
1324,0
1325,11
1326,1
1327,2
1328,0
1329,10
1330,3
1331,3
1332,1
1333,5
1334,0
1335,9
1336,7
1337,1
1338,10
1339,10
1340,2
1341,5
1342,1
1343,2
1344,11
1345,2
1346,0
1347,10
1348,5
1349,9
1350,11
1351,2
1352,7
1353,2
1354,11
1355,10
1356,2
1357,0
1358,11
1359,9
1360,8
1361,5
1362,5
1363,1
1364,7
1365,2
1366,10
1367,5
1368,2
1369,9
1370,10
1371,2
1372,5
1373,8
1374,8
1375,4
1376,4
1377,1
1378,1
1379,7
1380,2
1381,4
1382,9
1383,9
1384,5
1385,4
1386,1
1387,2
1388,8
1389,10
1390,0
1391,3
1392,5
1393,1
1394,8
1395,9
1396,2
1397,7
1398,6
1399,0
1400,4
1401,5
1402,8
1403,5
1404,8
