dim0,dim1
0.5178189554,0.9138637675
0.8757434603,0.1578496342
0.1927852144,0.5125179086
0.8592163224,0.8435183703
0.1930948672,0.8506309111
0.6713209969,0.6912751494
0.3829176006,0.2364011518
0.8847836067,0.496405074
0.6429958709,0.4339542864
0.4443763621,0.6527455802
0.632734148,0.1363366431
0.1546656646,0.1700133219
