row,cluster
798,10
799,4
800,5
801,10
802,7
803,11
804,7
805,11
806,6
807,10
808,0
809,2
810,4
811,6
812,9
813,5
814,9
815,3
816,0
817,5
818,6
819,9
820,8
821,6
822,2
823,6
824,5
825,9
826,4
827,4
828,6
829,4
830,9
831,3
832,8
833,9
834,0
835,9
836,10
837,10
838,5
839,4
840,2
841,10
842,1
843,7
844,8
845,6
846,0
847,0
848,11
849,6
850,2
851,7
852,0
853,9
854,8
855,7
856,10
857,1
858,0
859,8
860,5
861,0
862,1
863,10
864,2
865,8
866,9
867,0
868,7
869,7
870,11
871,8
872,6
873,1
874,5
875,5
876,0
877,10
878,5
879,1
880,4
881,7
882,11
883,3
884,5
885,3
886,0
887,5
888,10
889,9
890,5
891,10
892,6
893,7
894,9
895,0
896,1
897,5
898,7
899,2
900,6
901,4
902,0
903,10
904,4
905,5
906,1
907,3
908,4
909,7
910,2
911,8
912,0
913,2
914,9
915,10
916,11
917,4
918,3
919,2
920,9
921,9
922,8
923,4
924,10
925,10
926,11
927,1
928,8
929,2
930,1
931,2
932,11
933,7
934,4
935,1
936,0
937,8
938,9
939,4
940,2
941,2
942,3
943,5
944,11
945,0
946,4
947,7
948,5
949,11
950,2
951,6
952,1
953,0
954,10
955,8
956,11
957,0
958,6
959,10
960,7
961,6
962,2
963,6
964,9
965,9
966,5
967,4
968,7
969,8
970,8
971,1
972,5
973,2
974,11
975,10
976,8
977,9
978,7
979,7
980,7
981,9
982,4
983,11
984,2
985,7
986,6
987,8
988,8
989,6
990,2
991,7
992,4
993,9
994,4
995,0
996,7
997,0
998,1
999,10
1000,4
1001,4
1002,3
1003,9
1004,9
1005,6
1006,4
1007,4
1008,2
1009,6
1010,5
1011,6
1012,6
1013,0
1014,6
1015,10
1016,3
1017,9
1018,6
1019,5
1020,9
1021,10
1022,5
1023,5
1024,8
1025,6
1026,8
1027,11
1028,11
1029,2
1030,9
1031,5
1032,0
1033,8
1034,10
1035,11
1036,11
1037,4
1038,5
1039,11
1040,2
1041,0
1042,8
1043,7
1044,1
1045,6
1046,9
1047,2
1048,1
1049,6
1050,6
1051,6
1052,5
1053,10
1054,10
1055,10
1056,8
1057,3
1058,4
1059,0
1060,2
1061,8
1062,7
1063,5
1064,6
1065,9
1066,9
1067,6
1068,1
1069,0
1070,5
1071,6
1072,9
1073,9
1074,5
1075,9
1076,2
1077,8
1078,5
1079,4
1080,8
1081,5
1082,8
1083,5
1084,7
1085,6
1086,4
1087,9
1088,9
1089,7
1090,5
1091,8
1092,5
1093,10
1094,8
1095,7
1096,2
1097,7
1098,5
1099,8
1100,11
1101,4
1102,10
1103,4
1104,1
1105,3
1106,7
1107,8
1108,2
1109,1
1110,4
1111,9
1112,5
1113,9
1114,7
1115,8
1116,11
1117,5
1118,5
1119,10
1120,2
1121,6
1122,10
1123,2
1124,2
1125,0
1126,10
1127,7
1128,1
1129,11
1130,8
1131,8
1132,4
1133,2
1134,0
1135,4
1136,10
1137,5
1138,10
1139,1
1140,3
1141,7
1142,2
1143,0
1144,5
1145,9
1146,2
1147,9
1148,6
1149,6
1150,4
1151,2
1152,6
1153,5
1154,0
1155,8
1156,11
1157,1
1158,10
1159,1
1160,9
1161,4
1162,4
1163,7
1164,0
1165,7
1166,7
1167,7
1168,8
1169,10
1170,5
1171,7
1172,9
1173,3
1174,10
1175,2
1176,8
1177,9
1178,0
1179,3
1180,7
1181,10
1182,6
1183,10
1184,11
1185,8
1186,5
1187,10
1188,7
1189,6
1190,4
1191,1
1192,1
1193,3
1194,8
1195,9
1196,6
1197,6
1198,11
1199,10
1200,4
1201,0
1202,10
1203,7
1204,10
1205,0
1206,10
1207,2
1208,1
1209,4
1210,9
1211,8
1212,4
1213,8
1214,5
1215,7
1216,6
1217,5
1218,2
1219,5
1220,6
1221,5
1222,7
1223,0
1224,1
1225,3
1226,1
1227,3
1228,7
1229,2
1230,7
1231,5
1232,4
1233,6
1234,7
1235,4
1236,6
1237,3
1238,8
1239,6
1240,5
1241,9
1242,8
1243,8
1244,5
1245,2
1246,11
1247,5
1248,4
1249,8
1250,4
1251,3
1252,4
1253,11
1254,6
1255,0
1256,5
1257,7
1258,5
1259,10
1260,5
1261,2
1262,7
1263,11
1264,6
1265,7
1266,3
1267,4
1268,11
1269,1
1270,0
1271,3
1272,4
1273,2
1274,1
1275,7
1276,2
1277,3
1278,4
1279,7
1280,2
1281,6
1282,7
