dim0,dim1
0.8844797182,0.4962198942
0.206132812,0.5029252787
0.6237163982,0.4283277201
0.8831078136,0.8296130435
0.1922086379,0.8501231797
0.4445505607,0.6530943224
0.6496126052,0.9236099105
0.4665621315,0.9064500616
0.8748873327,0.1578389401
0.6716485882,0.690603868
0.2803751729,0.1955440565
0.6220052456,0.1379410519
